train_game,train_opponent,test_game,test_opponent,kld,test_coop_rate,optimal_coop_rate
prisoners-dilemma,0.3,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.1,13.218672693381384,0.6032500000000001,0.0
stag-hunt,0.7,prisoners-dilemma,0.1,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.3,13.199625110207812,0.6024375,0.0
stag-hunt,0.7,prisoners-dilemma,0.3,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.3,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.5,13.180580283353784,0.6016250000000001,0.0
