train_game,train_opponent,test_game,test_opponent,kld,test_coop_rate,optimal_coop_rate
prisoners-dilemma,0.3,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.1,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.1,10.41973412055846,0.48260000000000003,0.0
stag-hunt,0.7,prisoners-dilemma,0.1,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.1,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.3,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.3,10.404813421780183,0.48195,0.0
stag-hunt,0.7,prisoners-dilemma,0.3,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.3,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.3,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.5,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.5,10.389894415207689,0.48130000000000006,0.0
